Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Tony Abad,es ESP,"MF,DF",Huesca,La Liga 2,28-332,1996,6,5,449,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,es ESP,"MF,DF",Huesca,La Liga 2,28-332,1996,5.0,0,2,0,0.0,0.40,0.00,0.00,0,0.0,0,0,es ESP,"MF,DF",Huesca,La Liga 2,28-332,1996,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,es ESP,"MF,DF",Huesca,La Liga 2,28-332,1996,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,"MF,DF",Huesca,La Liga 2,28-332,1996,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,"MF,DF",Huesca,La Liga 2,28-332,1996,5.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,es ESP,"MF,DF",Huesca,La Liga 2,28-332,1996,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,"MF,DF",Huesca,La Liga 2,28-332,1996,6,449,75,71.3,5.0,5,81,3,1,45,1,1.17,3,6,-3,-0.60,-0.60,es ESP,"MF,DF",Huesca,La Liga 2,28-332,1996,5.0,0,0,0,4,1,2,9,3,4,0.0,0.0,0
Haitam Abaida,ma MAR,FW,Málaga,La Liga 2,23-122,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,ma MAR,FW,Málaga,La Liga 2,23-122,2002,0.1,0,0,0,0,0.00,0.00,0,0,0.0,0,0,ma MAR,FW,Málaga,La Liga 2,23-122,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ma MAR,FW,Málaga,La Liga 2,23-122,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ma MAR,FW,Málaga,La Liga 2,23-122,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ma MAR,FW,Málaga,La Liga 2,23-122,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,ma MAR,FW,Málaga,La Liga 2,23-122,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ma MAR,FW,Málaga,La Liga 2,23-122,2002,1,11,11,1.7,0.1,0,0,0,1,11,2,0.00,0,0,0,0.00,+0.15,ma MAR,FW,Málaga,La Liga 2,23-122,2002,0.1,0,0,0,0,0,0,1,0,0,0.0,0.0,0
Rodrigo Abajas,es ESP,MF,Huesca,La Liga 2,22-142,2003,4,1,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,es ESP,MF,Huesca,La Liga 2,22-142,2003,1.3,0,1,0,0.0,0.76,0.00,0.00,0,0.0,0,0,es ESP,MF,Huesca,La Liga 2,22-142,2003,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,es ESP,MF,Huesca,La Liga 2,22-142,2003,1.3,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,MF,Huesca,La Liga 2,22-142,2003,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,MF,Huesca,La Liga 2,22-142,2003,1.3,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,es ESP,MF,Huesca,La Liga 2,22-142,2003,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,MF,Huesca,La Liga 2,22-142,2003,4,119,30,18.9,1.3,1,90,1,3,10,3,1.50,1,2,-1,-0.76,-0.40,es ESP,MF,Huesca,La Liga 2,22-142,2003,1.3,0,0,0,4,1,1,8,1,3,0.0,0.0,0
Amir Abedzadeh,ir IRN,GK,Castellón,La Liga 2,32-158,1993,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,ir IRN,GK,Castellón,La Liga 2,32-158,1993,4.0,0,0,0,0,0.00,0.00,0,0,0.0,0,0,ir IRN,GK,Castellón,La Liga 2,32-158,1993,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ir IRN,GK,Castellón,La Liga 2,32-158,1993,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ir IRN,GK,Castellón,La Liga 2,32-158,1993,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ir IRN,GK,Castellón,La Liga 2,32-158,1993,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,ir IRN,GK,Castellón,La Liga 2,32-158,1993,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ir IRN,GK,Castellón,La Liga 2,32-158,1993,4,360,90,57.1,4.0,4,90,4,0,0,3,0.25,3,7,-4,-1.00,-2.00,ir IRN,GK,Castellón,La Liga 2,32-158,1993,4.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0
Unax Agote,es ESP,DF,Real Sociedad B,La Liga 2,22-187,2003,6,6,467,5.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,es ESP,DF,Real Sociedad B,La Liga 2,22-187,2003,5.2,0,1,0,0.0,0.19,0.00,0.00,0,0.0,0,0,es ESP,DF,Real Sociedad B,La Liga 2,22-187,2003,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,es ESP,DF,Real Sociedad B,La Liga 2,22-187,2003,5.2,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,DF,Real Sociedad B,La Liga 2,22-187,2003,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,DF,Real Sociedad B,La Liga 2,22-187,2003,5.2,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,es ESP,DF,Real Sociedad B,La Liga 2,22-187,2003,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,DF,Real Sociedad B,La Liga 2,22-187,2003,6,467,78,74.1,5.2,6,78,2,0,0,1,1.00,7,5,+2,+0.39,+2.59,es ESP,DF,Real Sociedad B,La Liga 2,22-187,2003,5.2,1,0,0,7,13,0,17,6,15,0.0,0.0,1
Lorenzo Aguado,es ESP,DF,Albacete,La Liga 2,23-012,2002,4,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,es ESP,DF,Albacete,La Liga 2,23-012,2002,0.7,0,0,0,0,0.00,0.00,0,0,0.0,0,0,es ESP,DF,Albacete,La Liga 2,23-012,2002,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,es ESP,DF,Albacete,La Liga 2,23-012,2002,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,DF,Albacete,La Liga 2,23-012,2002,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,DF,Albacete,La Liga 2,23-012,2002,0.7,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,es ESP,DF,Albacete,La Liga 2,23-012,2002,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,DF,Albacete,La Liga 2,23-012,2002,4,62,16,9.8,0.7,0,0,0,4,16,1,1.75,5,3,+2,+2.90,+3.54,es ESP,DF,Albacete,La Liga 2,23-012,2002,0.7,0,0,0,1,2,1,3,0,4,0.0,0.0,0
Lalo Aguilar,es ESP,DF,Leganés,La Liga 2,23-112,2002,7,6,540,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,es ESP,DF,Leganés,La Liga 2,23-112,2002,6.0,0,2,1,50.0,0.33,0.17,0.00,0.00,0.0,0,0,es ESP,DF,Leganés,La Liga 2,23-112,2002,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,es ESP,DF,Leganés,La Liga 2,23-112,2002,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,DF,Leganés,La Liga 2,23-112,2002,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,DF,Leganés,La Liga 2,23-112,2002,6.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,es ESP,DF,Leganés,La Liga 2,23-112,2002,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,DF,Leganés,La Liga 2,23-112,2002,7,540,77,85.7,6.0,6,89,5,1,9,0,1.00,5,6,-1,-0.17,-1.17,es ESP,DF,Leganés,La Liga 2,23-112,2002,6.0,2,0,0,4,4,0,2,8,3,0.0,0.0,0
Aisar Ahmed,es ESP,"FW,MF",Ceuta,La Liga 2,24-091,2001,6,6,448,5.0,0,2,2,0,0,0,1,0,0.00,0.40,0.40,0.00,0.40,es ESP,"FW,MF",Ceuta,La Liga 2,24-091,2001,5.0,0,4,1,25.0,0.80,0.20,0.00,0.00,0.0,0,0,es ESP,"FW,MF",Ceuta,La Liga 2,24-091,2001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,es ESP,"FW,MF",Ceuta,La Liga 2,24-091,2001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,"FW,MF",Ceuta,La Liga 2,24-091,2001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,"FW,MF",Ceuta,La Liga 2,24-091,2001,5.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,es ESP,"FW,MF",Ceuta,La Liga 2,24-091,2001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,"FW,MF",Ceuta,La Liga 2,24-091,2001,6,448,75,71.1,5.0,6,75,0,0,0,1,1.33,6,8,-2,-0.40,+1.08,es ESP,"FW,MF",Ceuta,La Liga 2,24-091,2001,5.0,1,0,0,5,3,1,19,6,2,0.0,0.0,0
Ager Aketxe,es ESP,MF,Zaragoza,La Liga 2,31-275,1993,2,2,130,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,es ESP,MF,Zaragoza,La Liga 2,31-275,1993,1.4,0,5,2,40.0,3.46,1.38,0.00,0.00,0.0,0,0,es ESP,MF,Zaragoza,La Liga 2,31-275,1993,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,es ESP,MF,Zaragoza,La Liga 2,31-275,1993,1.4,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,MF,Zaragoza,La Liga 2,31-275,1993,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,MF,Zaragoza,La Liga 2,31-275,1993,1.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,es ESP,MF,Zaragoza,La Liga 2,31-275,1993,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,MF,Zaragoza,La Liga 2,31-275,1993,2,130,65,20.6,1.4,2,65,0,0,0,1,0.50,0,2,-2,-1.38,-1.20,es ESP,MF,Zaragoza,La Liga 2,31-275,1993,1.4,0,0,0,2,4,0,13,0,0,0.0,0.0,0
Paul Akouokou,ci CIV,MF,Zaragoza,La Liga 2,27-285,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,ci CIV,MF,Zaragoza,La Liga 2,27-285,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,0,0.0,0,0,ci CIV,MF,Zaragoza,La Liga 2,27-285,1997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ci CIV,MF,Zaragoza,La Liga 2,27-285,1997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ci CIV,MF,Zaragoza,La Liga 2,27-285,1997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ci CIV,MF,Zaragoza,La Liga 2,27-285,1997,3.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,ci CIV,MF,Zaragoza,La Liga 2,27-285,1997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ci CIV,MF,Zaragoza,La Liga 2,27-285,1997,3,270,90,42.9,3.0,3,90,3,0,0,0,1.33,1,1,0,0.00,+0.75,ci CIV,MF,Zaragoza,La Liga 2,27-285,1997,3.0,1,0,0,4,4,0,0,6,4,0.0,0.0,0
